"species";"meters_year_50";"meters_year_99"
"Artemisia frigida";1;5
"Artemisia furcata";1;5
"Artemisia globularia";1;5
"Artemisia glomerata";1;5
"Artemisia gmelinii";1;5
"Artemisia jacutica";0,1;1
"Artemisia kruhsiana";1;5
"Artemisia laciniata";1;5
"Artemisia lagocephala";1;5
"Artemisia leucophylla";1;5
"Artemisia ludoviciana";1;5
"Artemisia marschalliana";1;5
"Artemisia mongolica";0,1;1
"Artemisia nitrosa";1;5
"Artemisia norvegica";1;5
"Artemisia pontica";1;5
"Artemisia scoparia";1;5
"Artemisia sieversiana";1;5
"Artemisia stelleriana";1;5
"Artemisia tanacetifolia";1;5
"Artemisia tilesii";1;5
"Artemisia vulgaris";2;15
"Aruncus dioicus";1;5
"Asarum europaeum";2;15
"Askellia nana";10;500
"Askellia pygmaea";10;500
"Asperugo procumbens";1;5
"Asperula tinctoria";1;5
"Asplenium ruta-muraria";10;500
"Asplenium septentrionale";10;500
"Asplenium viride";10;500
"Asplenium x adulterinum";2;15
"Aster alpinus";10;500
"Aster amellus";10;500
"Asterella lindenbergiana";10;500
"Asterella saccata";10;500
"Astragalus alpinus";0,1;1
"Astragalus arenarius";0,1;1
"Astragalus bodinii";1;5
"Astragalus cicer";1;5
"Astragalus danicus";0,1;1
"Astragalus eucosmus";0,1;1
"Astragalus glycyphyllos";1;5
"Astragalus mongholicus";1;5
"Astragalus norvegicus";1;5
"Astragalus nutzotinensis";0,1;1
"Astragalus polaris";1;5
"Astragalus schelichowii";1;5
"Astragalus tolmaczevii";0,1;1
"Astragalus umbellatus";0,1;1
"Astragalus vallicola";1;5
"Atocion armeria";1;5
"Atocion rupestre";0,1;1
"Atraphaxis frutescens";0,1;1
"Atrichum flavisetum";2;15
"Atrichum tenellum";10;500
"Atrichum undulatum";2;15
"Atriplex glabriuscula";1;5
"Atriplex gmelinii";0,1;1
"Atriplex hortensis";1;5
"Atriplex littoralis";1;5
"Atriplex patula";1;5
"Atriplex prostrata";1;5
"Atriplex sagittata";1;5
"Atriplex subspicata";1;5
"Aulacomnium acuminatum";10;500
"Aulacomnium androgynum";2;15
"Aulacomnium falcata";10;500
"Aulacomnium palustre";10;500
"Aulacomnium turgidum";10;500
"Avena fatua";1;5
"Avenella flexuosa";1;5
"Avenula pubescens";1;5
"Axyris amaranthoides";1;5
"Axyris hybrida";0,1;1
"Barbarea orthoceras";1;5
"Barbarea stricta";1;5
"Barbarea vulgaris";1;5
"Barbilophozia barbata";2;15
"Barbilophozia hatcheri";10;500
"Barbilophozia kunzeana";10;500
"Barbilophozia lycopodioides";2;15
"Barbilophozia rubescens";2;15
"Barbula unguiculata";10;500
"Bartramia halleriana";2;15
"Bartramiopsis lescurii";2;15
"Bartsia alpina";0,1;1
"Bassia scoparia";40;150
"Bazzania tricrenata";2;15
"Bazzania trilobata";2;15
"Beckmannia eruciformis";1;5
"Beckmannia syzigachne";0,1;1
"Bellis perennis";0,1;1
"Berberis vulgaris";400;1500
"Bergenia crassifolia";1;5
"Berteroa incana";1;5
"Betonica officinalis";400;1500
"Betula cordifolia";40;150
"Betula divaricata";40;150
"Betula fruticosa";2;15
"Betula glandulosa";40;150
"Betula humilis";400;1500
"Betula kenaica";40;150
"Betula minor";40;150
"Betula nana";400;1500
"Betula occidentalis";40;150
"Betula papyrifera";40;150
"Betula pendula";40;150
"Betula pubescens";400;1500
"Betula pumila";40;150
"Biantheridion undulifolium";10;500
"Bidens cernua";400;1500
"Bidens radiata";400;1500
"Bidens tripartita";400;1500
"Bistorta elliptica";1;5
"Bistorta officinalis";1;5
"Bistorta plumosa";0,1;1
"Bistorta vivipara";0,1;1
"Blasia pusilla";10;500
"Blepharostoma trichophyllum";2;15
"Blindia acuta";10;500
"Blitum asiaticum";0,1;1
"Blitum virgatum";1;5
"Blysmopsis rufa";0,1;1
"Blysmus rufus";400;1500
"Boechera divaricarpa";0,1;1
"Boechera falcata";0,1;1
"Boechera holboellii";0,1;1
"Boechera retrofracta";0,1;1
"Boechera stricta";1;5
"Bolboschoenus maritimus";1;5
"Bolboschoenus planiculmis";1;5
"Borago officinalis";2;15
"Botrychium boreale";10;500
"Botrychium lanceolatum";10;500
"Botrychium lunaria";10;500
"Botrychium matricariifolium";10;500
"Botrychium minganense";2;15
"Botrychium simplex";10;500
"Botrychium virginianum";2;15
"Boykinia richardsonii";0,1;1
"Brachypodium pinnatum";1;5
"Brachypodium sylvaticum";1;5
"Brachytheciastrum collinum";2;15
"Brachytheciastrum trachypodium";10;500
"Brachytheciastrum velutinum";2;15
"Brachythecium albicans";10;500
"Brachythecium cirrosum";10;500
"Brachythecium erythrorrhizon";2;15
"Brachythecium frigidum";2;15
"Brachythecium glareosum";10;500
"Brachythecium groenlandicum";10;500
"Brachythecium latifolium";2;15
"Brachythecium mildeanum";10;500
"Brachythecium plumosum";2;15
"Brachythecium rivulare";10;500
"Brachythecium rutabulum";10;500
"Brachythecium salebrosum";2;15
"Brachythecium trachypodium";2;15
"Brachythecium turgidum";10;500
"Brassica juncea";1;5
"Brassica napus";1;5
"Brassica rapa";1;5
"Braya glabella";1;5
"Braya humilis";1;5
"Braya linearis";1;5
"Braya rosea";1;5
"Braya siliquosa";1;5
"Braya thorild-wulffii";1;5
"Breutelia arundinifolia";2;15
"Briza media";1;5
"Bromus arvensis";1;5
"Bromus ciliatus";0,1;1
"Bromus hordeaceus";1;5
"Bromus inermis";1;5
"Bromus pumpellianus";0,1;1
"Bromus racemosus";1;5
"Bromus richardsonii";1;5
"Bromus secalinus";1;5
"Bromus squarrosus";1;5
"Bromus tectorum";400;1500
"Brunnera sibirica";0,1;1
"Bryhnia hultenii";10;500
"Bryobrittonia longipes";10;500
"Bryoerythrophyllum ferruginascens";10;500
"Bryoerythrophyllum recurvirostrum";10;500
"Bryonia alba";400;1500
"Bryoxiphium norvegicum";2;15
"Bryum archangelicum";10;500
"Bryum arcticum";10;500
"Bryum argenteum";10;500
"Bryum calophyllum";10;500
"Bryum cryophilum";10;500
"Bryum elegans";10;500
"Bryum moravicum";2;15
"Bryum neodamense";10;500
"Bryum pallescens";10;500
"Bryum pseudotriquetrum";10;500
"Bryum salinum";10;500
"Bryum turbinatum";10;500
"Bryum weigelii";10;500
"Bryum wrightii";10;500
"Buckiella undulata";2;15
"Buglossoides arvensis";2;15
"Bunias orientalis";1;5
"Bupleurum americanum";0,1;1
"Bupleurum arcticum";0,1;1
"Bupleurum scorzonerifolium";1;5
"Bupleurum triradiatum";1;5
"Butomus umbellatus";400;1500
"Buxbaumia aphylla";2;15
"Buxbaumia viridis";2;15
"Cakile edentula";1;5
"Cakile maritima";0,1;1
"Calamagrostis arundinacea";1;5
"Calamagrostis canadensis";1;5
"Calamagrostis canescens";1;5
"Calamagrostis chalybaea";1;5
"Calamagrostis deschampsioides";1;5
"Calamagrostis epigeios";1;5
"Calamagrostis lapponica";0,1;1
"Calamagrostis macrolepis";1;5
"Calamagrostis nutkaensis";0,1;1
"Calamagrostis obtusata";0,1;1
"Calamagrostis pseudophragmites";1;5
"Calamagrostis purpurascens";1;5
"Calamagrostis purpurea";1;5
"Calamagrostis sesquiflora";1;5
"Calendula officinalis";10;500
"Calla palustris";400;1500
"Callianthemum isopyroides";1;5
"Callianthemum sajanense";1;5
"Callicladium haldanianum";2;15
"Calliergon cordifolium";10;500
"Calliergon giganteum";10;500
"Calliergon megalophyllum";10;500
"Calliergon richardsonii";10;500
"Calliergonella cuspidata";10;500
"Calliergonella lindbergii";10;500
"Callitriche cophocarpa";400;1500
"Callitriche hamulata";400;1500
"Callitriche hermaphroditica";400;1500
"Callitriche palustris";400;1500
"Calluna vulgaris";10;500
"Caltha leptosepala";1;5
"Caltha natans";0,1;1
"Caltha palustris";1;5
"Calycularia crispula";2;15
"Calypogeia azurea";2;15
"Calypogeia fissa";2;15
"Calypogeia integristipula";2;15
"Calypogeia muelleriana";2;15
"Calypogeia neesiana";10;500
"Calypogeia sphagnicola";10;500
"Calypogeia suecica";2;15
"Calypso bulbosa";2;15
"Calystegia sepium";1;5
"Camelina microcarpa";1;5
"Campanula alaskana";1;5
"Campanula cervicaria";1;5
"Campanula dasyantha";0,1;1
"Campanula expansa";1;5
"Campanula glomerata";1;5
"Campanula lasiocarpa";0,1;1
"Campanula latifolia";1;5
"Campanula patula";1;5
"Campanula persicifolia";1;5
"Campanula punctata";1;5
"Campanula rapunculoides";1;5
"Campanula rotundifolia";0,1;1
"Campanula sibirica";1;5
"Campanula trachelium";1;5
"Campanula uniflora";0,1;1
"Campyliadelphus chrysophyllus";10;500
"Campylium bambergeri";10;500
"Campylium calcareum";2;15
"Campylium polygamum";10;500
"Campylium protensum";10;500
"Campylium sommerfeltii";10;500
"Campylium stellatum";10;500
"Campylophyllum halleri";2;15
"Campylopus atrovirens";10;500
"Campylopus brevipilus";10;500
"Campylopus subulatus";10;500
"Capnoides sempervirens";2;15
"Capsella bursa-pastoris";0,1;1
"Caragana arborescens";1;5
"Caragana frutex";1;5
"Caragana jubata";0,1;1
"Cardamine amara";1;5
"Cardamine bellidifolia";0,1;1
"Cardamine blaisdellii";0,1;1
"Cardamine conferta";1;5
"Cardamine dentata";1;5
"Cardamine digitata";1;5
"Cardamine impatiens";1;5
"Cardamine macrophylla";0,1;1
"Cardamine microphylla";1;5
"Cardamine nymanii";0,1;1
"Cardamine parviflora";0,1;1
"Cardamine pedata";0,1;1
"Cardamine pensylvanica";1;5
"Cardamine pratensis";0,1;1
"Cardamine prorepens";1;5
"Cardamine purpurea";1;5
"Cardamine scutata";1;5
"Cardamine tenuifolia";1;5
"Cardamine trifida";0,1;1
"Cardamine umbellata";1;5
"Cardamine victoris";0,1;1
"Carduus acanthoides";10;500
"Carduus crispus";10;500
"Carduus nutans";2;15
"Carex acuta";1;5
"Carex acutiformis";1;5
"Carex adelostoma";1;5
"Carex alba";0,1;1
"Carex anthoxanthea";1;5
"Carex appendiculata";0,1;1
"Carex appropinquata";2;15
"Carex aquatilis";1;5
"Carex arctogena";0,1;1
"Carex aterrima";0,1;1
"Carex atherodes";1;5
"Carex atrata";0,1;1
"Carex atratiformis";0,1;1
"Carex atrofusca";0,1;1
"Carex aurea";0,1;1
"Carex bebbii";1;5
"Carex bicolor";0,1;1
"Carex bigelowii";0,1;1
"Carex bohemica";0,1;1
"Carex bonanzensis";1;5
"Carex borealipolaris";0,1;1
"Carex brunnescens";1;5
"Carex buxbaumii";1;5
"Carex canescens";1;5
"Carex capillaris";0,1;1
"Carex capitata";0,1;1
"Carex caryophyllea";2;15
"Carex cespitosa";1;5
"Carex chordorrhiza";0,1;1
"Carex concinna";0,1;1
"Carex crawfordii";0,1;1
"Carex deflexa";1;5
"Carex demissa";0,1;1
"Carex diandra";1;5
"Carex digitata";2;15
"Carex diluta";0,1;1
"Carex dioica";2;15
"Carex disperma";1;5
"Carex disticha";1;5
"Carex drymophila";1;5
"Carex duriuscula";1;5
"Carex eburnea";0,1;1
"Carex echinata";0,1;1
"Carex elata";1;5
"Carex eleusinoides";1;5
"Carex elongata";2;15
"Carex ericetorum";2;15
"Carex filifolia";1;5
"Carex flava";1;5
"Carex foenea";1;5
"Carex fuliginosa";0,1;1
"Carex garberi";1;5
"Carex glacialis";0,1;1
"Carex glareosa";1;5
"Carex globularis";1;5
"Carex gmelinii";1;5
"Carex gynocrates";1;5
"Carex hakkodensis";0,1;1
"Carex heleonastes";0,1;1
"Carex hirta";2;15
"Carex holostoma";1;5
"Carex interior";0,1;1
"Carex krausei";1;5
"Carex lachenalii";0,1;1
"Carex lanceolata";0,1;1
"Carex lapponica";0,1;1
"Carex lasiocarpa";2;15
"Carex laxa";1;5
"Carex ledebouriana";0,1;1
"Carex lenticularis";0,1;1
"Carex leporina";1;5
"Carex leptalea";0,1;1
"Carex limosa";2;15
"Carex livida";1;5
"Carex loliacea";1;5
"Carex lyngbyei";1;5
"Carex mackenziei";1;5
"Carex macloviana";40;150
"Carex macrocephala";0,1;1
"Carex macrochaeta";0,1;1
"Carex macrogyna";0,1;1
"Carex macroprophylla";0,1;1
"Carex magellanica";2;15
"Carex marina";0,1;1
"Carex maritima";0,1;1
"Carex media";0,1;1
"Carex melanocarpa";0,1;1
"Carex membranacea";0,1;1
"Carex mertensii";0,1;1
"Carex meyeriana";0,1;1
"Carex microchaeta";0,1;1
"Carex microglochin";0,1;1
"Carex muricata";1;5
"Carex myosuroides";400;1500
"Carex nardina";1;5
"Carex nigra";1;5
"Carex nigricans";0,1;1
"Carex norvegica";0,1;1
"Carex obtusata";0,1;1
"Carex oligosperma";0,1;1
"Carex ornithopoda";2;15
"Carex paleacea";0,1;1
"Carex pallescens";2;15
"Carex pallida";0,1;1
"Carex panicea";0,1;1
"Carex parallela";1;5
"Carex parryana";0,1;1
"Carex pauciflora";0,1;1
"Carex peckii";0,1;1
"Carex pediformis";2;15
"Carex pellita";0,1;1
"Carex petricosa";0,1;1
"Carex pilulifera";0,1;1
"Carex podocarpa";0,1;1
"Carex prairae";0,1;1
"Carex praticola";0,1;1
"Carex pseudocuraica";0,1;1
"Carex rariflora";0,1;1
"Carex retrorsa";0,1;1
"Carex rhynchophysa";1;5
"Carex riparia";1;5
"Carex rossii";0,1;1
"Carex rostrata";1;5
"Carex rotundata";1;5
"Carex rupestris";0,1;1
"Carex sabulosa";1;5
"Carex sartwellii";0,1;1
"Carex saxatilis";0,1;1
"Carex schmidtii";0,1;1
"Carex scirpoidea";0,1;1
"Carex scita";0,1;1
"Carex sempervirens";0,1;1
"Carex simpliciuscula";400;1500
"Carex sterilis";1;5
"Carex stipata";0,1;1
"Carex stylosa";0,1;1
"Carex subspathacea";1;5
"Carex supina";0,1;1
"Carex sychnocephala";0,1;1
"Carex tenuiflora";0,1;1
"Carex tomentosa";0,1;1
"Carex tonsa";0,1;1
"Carex trautvetteriana";0,1;1
"Carex ursina";1;5
"Carex utriculata";1;5
"Carex vaginata";0,1;1
"Carex vesicaria";1;5
"Carex vulpina";1;5
"Carex williamsii";1;5
"Carum buriaticum";1;5
"Carum carvi";1;5
"Cassiope lycopodioides";10;500
"Cassiope tetragona";10;500
"Castilleja caudata";0,1;1
"Castilleja elegans";0,1;1
"Castilleja hyperborea";1;5
"Castilleja pallida";0,1;1
"Castilleja parviflora";0,1;1
"Castilleja raupii";0,1;1
"Castilleja rubra";0,1;1
"Castilleja septentrionalis";0,1;1
"Castilleja unalaschcensis";1;5
"Catabrosa aquatica";1;5
"Catolobus pendulus";0,1;1
"Catoscopium nigritum";10;500
"Centaurea cyanus";2;15
"Centaurea diffusa";2;15
"Centaurea jacea";2;15
"Centaurea montana";2;15
"Centaurea phrygia";2;15
"Centaurea scabiosa";2;15
"Centaurea stoebe";2;15
"Centaurium pulchellum";0,1;1
"Cephalanthera longifolia";2;15
"Cephalanthera rubra";2;15
"Cephalozia ambigua";10;500
"Cephalozia bicuspidata";10;500
"Cephaloziella arctogena";10;500
"Cephaloziella aspericaulis";10;500
"Cephaloziella divaricata";10;500
"Cephaloziella elachista";10;500
"Cephaloziella grimsulana";10;500
"Cephaloziella rubella";10;500
"Cephaloziella spinigera";10;500
"Cephaloziella varians";10;500
"Cerastium alpinum";0,1;1
"Cerastium arcticum";0,1;1
"Cerastium arvense";0,1;1
"Cerastium beeringianum";1;5
"Cerastium cerastoides";0,1;1
"Cerastium fischerianum";0,1;1
"Cerastium fontanum";0,1;1
"Cerastium glomeratum";0,1;1
"Cerastium maximum";0,1;1
"Cerastium pauciflorum";0,1;1
"Cerastium regelii";1;5
"Ceratocarpus arenarius";40;150
"Ceratodon heterophyllus";10;500
"Ceratodon purpureus";10;500
"Ceratophyllum demersum";400;1500
"Ceratophyllum submersum";400;1500
"Chaenorhinum minus";10;500
"Chaerophyllum prescottii";1;5
"Chaiturus marrubiastrum";1;5
"Chamaedaphne calyculata";10;500
"Chamaenerion angustifolium";10;500
"Chamaenerion latifolium";10;500
"Chamaerhodos erecta";1;5
"Chamaerhodos grandiflora";1;5
"Chelidonium majus";2;15
"Chenopodiastrum hybridum";1;5
"Chenopodium acuminatum";1;5
"Chenopodium album";1;5
"Chenopodium berlandieri";1;5
"Chenopodium ficifolium";1;5
"Chenopodium karoi";0,1;1
"Chenopodium probstii";1;5
"Chenopodium strictum";400;1500
"Chenopodium suecicum";1;5
"Cherleria arctica";0,1;1
"Cherleria biflora";0,1;1
"Cherleria obtusiloba";1;5
"Cherleria yukonensis";0,1;1
"Chiloscyphus coadunatus";10;500
"Chiloscyphus pallescens";10;500
"Chiloscyphus polyanthos";10;500
"Chiloscyphus profundus";10;500
"Chimaphila umbellata";2;15
"Chorispora sibirica";1;5
"Chorispora tenella";0,1;1
"Chrysanthemum mongolicum";0,1;1
"Chrysosplenium alternifolium";0,1;1
"Chrysosplenium tetrandrum";1;5
"Chrysosplenium wrightii";0,1;1
"Cichorium intybus";10;500
"Cicuta bulbifera";400;1500
"Cicuta douglasii";400;1500
"Cicuta virosa";400;1500
"Cinclidium arcticum";10;500
"Cinclidium stygium";10;500
"Cinclidium subrotundum";10;500
"Cinna latifolia";1;5
"Circaea lutetiana";400;1500
"Cirriphyllum cirrosum";10;500
"Cirriphyllum crassinervium";2;15
"Cirriphyllum piliferum";10;500
"Cirsium acaule";10;500
"Cirsium arvense";10;500
"Cirsium heterophyllum";10;500
"Cirsium kamtschaticum";10;500
"Cirsium oleraceum";10;500
"Cirsium palustre";10;500
"Cirsium vulgare";10;500
"Claopodium crispifolium";2;15
"Claopodium pellucinerve";2;15
"Clausia aprica";0,1;1
"Claytonia acutifolia";0,1;1
"Claytonia arctica";0,1;1
"Claytonia sarmentosa";1;5
"Claytonia scammaniana";0,1;1
"Claytonia tuberosa";1;5
"Clematis sibirica";0,1;1
"Clevea hyalina";10;500
"Climacium dendroides";10;500
"Clinopodium acinos";2;15
"Clinopodium vulgare";2;15
"Cnestrum alpestre";2;15
"Cnestrum glaucescens";10;500
"Cnestrum schisti";2;15
"Cnidium cnidiifolium";400;1500
"Cnidium dubium";400;1500
"Cochlearia groenlandica";0,1;1
"Cochlearia officinalis";0,1;1
"Cochlearia sessilifolia";0,1;1
"Codriophorus fascicularis";2;15
"Collomia linearis";0,1;1
"Cololejeunea calcarea";2;15
"Comandra umbellata";400;1500
"Comarum palustre";2;15
"Comastoma tenellum";1;5
"Conioselinum tataricum";1;5
"Conium maculatum";1;5
"Conocephalum conicum";10;500
"Conocephalum salebrosum";10;500
"Conostomum tetragonum";10;500
"Convolvulus ammannii";1;5
"Convolvulus arvensis";1;5
"Coptidium lapponicum";0,1;1
"Coptidium pallasii";0,1;1
"Coptis aspleniifolia";1;5
"Coptis trifolia";0,1;1
"Corallorhiza trifida";2;15
"Corispermum ochotense";1;5
"Cornus alba";400;1500
"Cornus canadensis";400;1500
"Cornus sericea";400;1500
"Cornus suecica";400;1500
"Cornus unalaschkensis";400;1500
"Corydalis nobilis";2;15
"Corydalis sibirica";2;15
"Corydalis solida";2;15
"Coscinodon cribrosus";10;500
"Cosmos bipinnatus";1;5
"Cota tinctoria";2;15
"Cotoneaster integerrimus";400;1500
"Cotoneaster melanocarpus";400;1500
"Cotoneaster niger";400;1500
"Craniospermum subvillosum";0,1;1
"Crassula aquatica";400;1500
"Crataegus sanguinea";400;1500
"Cratoneuron filicinum";10;500
"Crepidiastrum tenuifolium";10;500
"Crepis chrysantha";10;500
"Crepis multicaulis";2;15
"Crepis paludosa";2;15
"Crepis praemorsa";10;500
"Crepis sibirica";2;15
"Crepis tectorum";10;500
"Crossocalyx hellerianus";2;15
